"CountryCode","SeriesCode","DESCRIPTION",
"ABW","IT.MLT.MAIN","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders.",
"ABW","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ABW","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","IT.NET.BBND.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"ABW","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ABW","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ABW","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ABW","IT.CEL.SETS","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ABW","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ABW","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ABW","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"ABW","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","IT.CEL.SETS.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ABW","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ABW","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ABW","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ABW","IT.MLT.MAIN.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ABW","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ABW","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ABW","IT.NET.USER.ZS","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"ABW","IT.NET.BBND","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba",
"AFG","IT.CEL.SETS.P2","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","NY.GNP.PCAP.PP.KD","Estimates are based on regression.",
"AFG","SM.POP.NETM","Data source: United Nations World Population Prospects",
"AFG","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"AFG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"AFG","NY.GNP.MKTP.PP.KD","Estimates are based on regression.",
"AFG","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AFG","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"AFG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"AFG","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"AFG","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"AFG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"AFG","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"AFG","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"AFG","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"AFG","IT.MLT.MAIN.P2","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","NE.CON.PRVT.PP.KD","Estimates are based on regression.",
"AFG","NE.CON.PRVT.PP.CD","Estimates are based on regression.",
"AFG","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"AFG","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"AFG","MS.MIL.XPND.ZS","2004 SIPRI estimates.",
"AFG","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AFG","IT.MLT.MAIN","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AFG","IT.NET.USER.ZS","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists).",
"AFG","IT.NET.BBND","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"AFG","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"AFG","IT.NET.BBND.P2","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"AFG","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AFG","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AFG","MS.MIL.XPND.CD","2004 SIPRI estimates.",
"AFG","MS.MIL.XPND.CN","2004 SIPRI estimates.",
"AFG","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2020 are based on reports provided by the country. Short-term debt before 2010 is based on data from the BIS. Data include the effects of Paris Club debt restructuring agreements signed in 2010 and HIPC and MDRI debt relief. DSSI eligible and participating in 2020.",
"AFG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"AFG","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"AFG","IT.CEL.SETS","Ministry of Communications. Ministry of Communications & Information Technology",
"AFG","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AFG","SP.POP.GROW","Data source: United Nations World Population Prospects",
"AFG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"AFG","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"AGO","IT.NET.BBND","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AGO","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"AGO","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"AGO","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"AGO","IT.NET.USER.ZS","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. 1995-2001: country data.",
"AGO","ST.INT.DPRT","Includes overnight visitors (tourists) only.",
"AGO","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"AGO","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"AGO","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"AGO","IT.CEL.SETS.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","SM.POP.NETM","Data source: United Nations World Population Prospects",
"AGO","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AGO","SP.POP.GROW","Data source: United Nations World Population Prospects",
"AGO","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AGO","SM.POP.TOTL","Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ",
"AGO","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"AGO","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"AGO","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"AGO","IT.CEL.SETS","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"AGO","DT.DOD.DECT.CD","Long-term public and publicly guaranteed debt data for 2020 are based on reports provided by the country.  Short-term debt and long-term private nonguaranteed debt data for 2020 are sourced from the National Bank of Angola. DSSI eligible and participating in 2020.",
"AGO","IT.MLT.MAIN.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"AGO","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AGO","IT.MLT.MAIN","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"AGO","IT.NET.BBND.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.",
"AGO","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"AGO","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders.",
"ALB","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. ",
"ALB","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ALB","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ALB","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ALB","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ALB","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ALB","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ALB","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ALB","IT.MLT.MAIN","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","IT.NET.USER.ZS","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ALB","IT.NET.BBND.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","IS.RRS.GOOD.MT.K6","Source: OECD",
"ALB","IT.MLT.MAIN.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","IS.RRS.PASG.KM","Source: OECD",
"ALB","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ALB","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders. Excluding nationals residing abroad. Including in transit visitors.",
"ALB","SP.POP.TOTL","Data source: Institute of Statistics, Eurostat",
"ALB","IT.NET.BBND","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ALB","ST.INT.DPRT","Includes overnight visitors (tourists) and same-day visitors (excursionists).",
"ALB","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
